multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
413,CT5B876,2021-03-23,18:19,104.0,60,AV SIEMPRE VIVA,,PAGADA,44.0,41.0
414,YLO8WUE,2021-02-19,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,19.0,17.0
421,XIIUME,2020-04-25,08:15,115.0,40,RUTA 9,R02,PAGADA,75.0,73.0
422,XIIUME,2024-01-17,18:19,116.0,60,AV SIEMPRE VIVA,R01,IMPAGA,56.0,53.0
424,XIIUME,2023-05-26,14:14,89.0,40,AV LIBERTADOR,R01,ERROR,49.0,47.0
428,GN64OTP,2023-07-01,09:20,68.0,60,RUTA 9,R03,APELADA,8.0,5.0
431,XIIUME,2020-12-02,18:20,114.0,80,AV LIBERTADOR,,IMPAGA,34.0,30.0
432,6NCE831,2023-06-20,09:21,88.0,80,RUTA 9,R01,PAGADA,8.0,4.0
434,GLEN1E,2021-11-24,18:20,70.0,60,AV SIEMPRE VIVA,,ERROR,10.0,7.0
436,409,2022-12-10,09:21,86.0,60,RUTA 9,,ERROR,26.0,23.0
441,691XC80,2021-08-13,18:21,117.0,60,AV SIEMPRE VIVA,R01,ERROR,57.0,54.0
449,CD05601,2023-09-23,09:21,99.0,80,AV LIBERTADOR,R02,IMPAGA,19.0,15.0
452,OUTSTDN,2023-07-17,14:14,122.0,80,AV LIBERTADOR,,APELADA,42.0,38.0
455,HK06YMX,2020-05-14,09:22,82.0,40,AV SIEMPRE VIVA,,ERROR,42.0,40.0
456,XIIUME,2020-05-05,18:21,116.0,80,AV LIBERTADOR,R02,IMPAGA,36.0,32.0
460,81ZFJD,2021-06-29,18:21,95.0,60,RUTA 9,R02,ERROR,35.0,32.0
464,T0YDR,2022-11-30,18:21,98.0,40,AV LIBERTADOR,,APELADA,58.0,56.0
473,2999961,2021-03-29,18:22,99.0,60,AV SIEMPRE VIVA,R03,IMPAGA,39.0,36.0
479,PIW4215,2022-11-03,18:22,94.0,80,AV LIBERTADOR,R01,PAGADA,14.0,10.0
481,831MDB,2020-01-06,09:23,93.0,80,RUTA 9,R03,IMPAGA,13.0,9.0
484,UM96201,2023-04-14,08:17,77.0,40,AV SIEMPRE VIVA,R02,IMPAGA,37.0,35.0
486,691XC80,2020-05-20,18:23,92.0,60,AV SIEMPRE VIVA,R01,ERROR,32.0,29.0
487,NHZ1002,2024-06-02,18:23,93.0,80,AV LIBERTADOR,R01,ERROR,13.0,9.0
488,6611172,2020-03-31,14:15,100.0,60,AV LIBERTADOR,R03,PAGADA,40.0,37.0
490,81ZFJD,2020-10-04,09:23,62.0,40,AV SIEMPRE VIVA,R03,IMPAGA,22.0,20.0
491,BX55DOG,2023-07-09,09:23,61.0,40,RUTA 9,,PAGADA,21.0,19.0
492,M431ZW,2020-05-29,09:23,62.0,40,AV SIEMPRE VIVA,R02,APELADA,22.0,20.0
495,HF3461,2023-09-15,09:24,111.0,80,AV LIBERTADOR,R01,ERROR,31.0,27.0
497,BB8986,2020-07-14,14:16,150.0,80,AV SIEMPRE VIVA,R02,IMPAGA,70.0,66.0
499,AWS167,2020-02-13,08:17,51.0,40,AV LIBERTADOR,,ERROR,11.0,9.0
506,691XC80,2023-12-31,14:16,53.0,40,AV LIBERTADOR,R01,PAGADA,13.0,11.0
509,VY90540,2022-09-05,14:16,143.0,80,RUTA 9,,ERROR,63.0,59.0
513,T0YDR,2020-12-23,18:24,133.0,80,RUTA 9,,PAGADA,53.0,49.0
514,9999868,2022-09-02,09:24,71.0,40,AV SIEMPRE VIVA,R02,APELADA,31.0,29.0
518,GOOGLE,2023-11-12,18:24,146.0,80,AV SIEMPRE VIVA,R01,APELADA,66.0,62.0
519,WU08YWC,2022-10-15,08:18,100.0,40,AV LIBERTADOR,R01,IMPAGA,60.0,58.0
524,HF3461,2020-01-28,18:24,87.0,80,AV LIBERTADOR,R03,IMPAGA,7.0,3.0
539,OUTSTDN,2023-08-19,09:25,85.0,60,AV LIBERTADOR,,IMPAGA,25.0,22.0
541,WEFLYN,2020-06-25,08:19,118.0,40,RUTA 9,R03,APELADA,78.0,76.0
544,VY90540,2022-09-15,18:25,101.0,80,AV SIEMPRE VIVA,,ERROR,21.0,17.0
555,HAMSTUR,2023-02-19,14:18,98.0,40,AV LIBERTADOR,R01,APELADA,58.0,56.0
565,6NCE831,2021-12-16,14:19,134.0,80,AV LIBERTADOR,R02,APELADA,54.0,50.0
568,BHRP770,2022-09-06,08:20,153.0,80,RUTA 9,R03,ERROR,73.0,69.0
569,FD1475,2022-02-23,09:26,132.0,60,AV SIEMPRE VIVA,,APELADA,72.0,69.0
576,B81JKY,2021-07-17,14:19,80.0,40,AV LIBERTADOR,R02,ERROR,40.0,38.0
579,BX55DOG,2021-06-20,09:27,139.0,60,RUTA 9,,PAGADA,79.0,76.0
581,8B90638,2021-11-17,18:26,107.0,60,AV LIBERTADOR,R03,APELADA,47.0,44.0
582,INTIGR8,2020-06-14,14:20,95.0,60,AV SIEMPRE VIVA,R01,APELADA,35.0,32.0
583,DK414N,2020-07-04,08:21,76.0,60,AV SIEMPRE VIVA,R03,APELADA,16.0,13.0
593,B81JKY,2022-01-06,18:27,141.0,80,AV SIEMPRE VIVA,R02,PAGADA,61.0,57.0
600,WEFLYN,2021-01-16,14:20,153.0,80,AV LIBERTADOR,R03,IMPAGA,73.0,69.0
605,MX60NZA,2020-11-18,14:20,105.0,60,AV LIBERTADOR,,PAGADA,45.0,42.0
608,FD1475,2020-10-21,08:22,113.0,80,AV LIBERTADOR,R02,APELADA,33.0,29.0
610,M20CPR,2020-09-20,14:21,85.0,80,AV SIEMPRE VIVA,,ERROR,5.0,1.0
612,HAMSTUR,2024-01-26,09:28,109.0,60,AV SIEMPRE VIVA,,IMPAGA,49.0,46.0
616,HF58HXP,2022-10-22,14:21,76.0,60,AV SIEMPRE VIVA,R02,PAGADA,16.0,13.0
622,VNK296GP,2020-03-06,09:29,69.0,40,AV LIBERTADOR,,ERROR,29.0,27.0
637,FVIOUHP,2021-03-30,08:23,139.0,60,AV SIEMPRE VIVA,R03,IMPAGA,79.0,76.0
639,MPX9357,2022-11-28,14:21,134.0,60,RUTA 9,R02,IMPAGA,74.0,71.0
643,YLO8WUE,2023-02-02,14:22,87.0,60,AV SIEMPRE VIVA,R02,PAGADA,27.0,24.0
644,VNK296GP,2022-09-18,18:29,116.0,40,RUTA 9,R03,ERROR,76.0,74.0
647,HK06YMX,2020-09-30,14:22,95.0,80,RUTA 9,R03,IMPAGA,15.0,11.0
648,TL03GOG,2022-02-14,09:30,85.0,60,RUTA 9,R03,IMPAGA,25.0,22.0
649,5777770,2023-12-25,09:30,104.0,60,RUTA 9,,IMPAGA,44.0,41.0
651,6NCE831,2022-09-17,09:30,93.0,60,AV LIBERTADOR,,PAGADA,33.0,30.0
652,HAMSTUR,2022-10-06,14:22,75.0,40,AV SIEMPRE VIVA,R03,PAGADA,35.0,33.0
654,OUTSTDN,2023-09-12,18:30,53.0,40,RUTA 9,R03,ERROR,13.0,11.0
655,MPX9357,2021-11-19,14:22,137.0,80,AV SIEMPRE VIVA,,PAGADA,57.0,53.0
662,41RSTZ,2021-03-01,14:23,112.0,60,RUTA 9,,ERROR,52.0,49.0
664,PIW4215,2022-03-08,18:30,73.0,40,RUTA 9,R02,IMPAGA,33.0,31.0
665,J1S1,2023-04-18,08:24,75.0,60,RUTA 9,R02,PAGADA,15.0,12.0
671,T0YDR,2022-03-09,09:31,52.0,40,RUTA 9,R03,PAGADA,12.0,10.0
675,WEFLYN,2023-08-21,14:23,104.0,60,AV LIBERTADOR,R03,PAGADA,44.0,41.0
682,AI7OVF,2021-04-24,14:24,67.0,40,AV LIBERTADOR,,ERROR,27.0,25.0
690,VY90540,2020-07-18,18:32,119.0,80,AV LIBERTADOR,,APELADA,39.0,35.0
699,DK414N,2022-05-28,09:33,133.0,60,RUTA 9,R02,APELADA,73.0,70.0
700,PIW4215,2022-08-22,09:33,96.0,80,AV SIEMPRE VIVA,R03,PAGADA,16.0,12.0
703,M20CPR,2022-11-04,18:32,64.0,40,AV LIBERTADOR,,ERROR,24.0,22.0
709,NTHGLFT,2020-05-26,08:24,101.0,40,RUTA 9,R03,ERROR,61.0,59.0
714,9999868,2021-01-25,09:34,149.0,80,AV SIEMPRE VIVA,R01,PAGADA,69.0,65.0
718,831MDB,2020-11-22,08:25,135.0,60,AV LIBERTADOR,R02,APELADA,75.0,72.0
720,RFH373,2023-08-21,08:25,116.0,80,AV LIBERTADOR,R03,APELADA,36.0,32.0
721,WEFLYN,2023-03-23,09:34,89.0,80,RUTA 9,R03,ERROR,9.0,5.0
725,XIIUME,2020-04-04,14:25,97.0,80,AV SIEMPRE VIVA,,APELADA,17.0,13.0
728,AWS167,2020-05-22,14:25,137.0,80,AV LIBERTADOR,R03,ERROR,57.0,53.0
731,MPX9357,2023-05-23,18:33,107.0,40,AV LIBERTADOR,,ERROR,67.0,65.0
732,CT5B876,2021-11-01,14:25,88.0,80,AV SIEMPRE VIVA,R01,IMPAGA,8.0,4.0
734,FVIOUHP,2020-12-03,08:26,111.0,80,AV SIEMPRE VIVA,R03,PAGADA,31.0,27.0
737,AWS167,2021-01-28,14:25,118.0,60,AV SIEMPRE VIVA,R01,APELADA,58.0,55.0
743,810TCH,2023-04-10,09:35,134.0,60,RUTA 9,,IMPAGA,74.0,71.0
745,GOOGLE,2021-11-15,14:26,112.0,80,AV SIEMPRE VIVA,R02,ERROR,32.0,28.0
751,AWS167,2021-09-12,14:26,113.0,40,AV LIBERTADOR,,ERROR,73.0,71.0
752,T0YDR,2022-08-04,18:34,126.0,60,AV SIEMPRE VIVA,R02,IMPAGA,66.0,63.0
759,VTIIAHV,2023-04-06,08:27,118.0,60,AV LIBERTADOR,R02,APELADA,58.0,55.0
763,GCP332,2023-10-15,18:35,111.0,80,RUTA 9,,IMPAGA,31.0,27.0
765,BB8986,2021-11-25,08:28,97.0,40,AV SIEMPRE VIVA,,IMPAGA,57.0,55.0
773,DI2LOT,2020-07-17,08:28,115.0,40,AV LIBERTADOR,R03,APELADA,75.0,73.0
776,J1S1,2022-04-21,18:36,89.0,40,RUTA 9,R01,IMPAGA,49.0,47.0
780,GLEN1E,2023-09-01,18:36,71.0,60,AV SIEMPRE VIVA,R02,ERROR,11.0,8.0
784,BB8986,2022-01-28,18:36,82.0,60,RUTA 9,R02,IMPAGA,22.0,19.0
792,589222,2021-09-25,18:37,153.0,80,AV SIEMPRE VIVA,R02,APELADA,73.0,69.0
793,CBMUK,2022-02-09,09:36,93.0,60,AV LIBERTADOR,R03,IMPAGA,33.0,30.0
795,MVU4688,2022-03-25,14:28,152.0,80,AV SIEMPRE VIVA,,APELADA,72.0,68.0
806,81ZFJD,2020-11-02,14:29,94.0,80,AV SIEMPRE VIVA,,APELADA,14.0,10.0
807,W326AVE,2023-08-15,08:30,82.0,60,RUTA 9,R02,APELADA,22.0,19.0
808,XIIUME,2020-08-21,14:29,157.0,80,RUTA 9,R03,ERROR,77.0,73.0
815,HAMSTUR,2020-02-21,14:29,78.0,60,AV SIEMPRE VIVA,R03,ERROR,18.0,15.0
816,DK414N,2020-08-22,09:37,117.0,80,AV LIBERTADOR,R03,IMPAGA,37.0,33.0
818,GE1466,2021-06-04,08:31,116.0,80,AV LIBERTADOR,,PAGADA,36.0,32.0
819,6EVY261,2024-07-01,09:37,135.0,80,AV LIBERTADOR,R01,IMPAGA,55.0,51.0
823,6611172,2022-01-02,08:31,136.0,80,AV LIBERTADOR,R03,ERROR,56.0,52.0
824,J1S1,2021-09-29,09:38,108.0,40,AV SIEMPRE VIVA,,ERROR,68.0,66.0
830,M20CPR,2022-04-26,18:38,122.0,80,RUTA 9,,APELADA,42.0,38.0
837,BM351,2022-12-05,08:32,104.0,80,AV SIEMPRE VIVA,,IMPAGA,24.0,20.0
842,AI7OVF,2020-11-19,14:30,54.0,40,AV LIBERTADOR,R03,PAGADA,14.0,12.0
847,UM96201,2021-06-18,18:38,135.0,60,AV SIEMPRE VIVA,R02,APELADA,75.0,72.0
850,6EVY261,2020-06-11,09:39,98.0,80,AV LIBERTADOR,R01,IMPAGA,18.0,14.0
851,6EVY261,2023-10-16,09:39,117.0,40,AV LIBERTADOR,R02,IMPAGA,77.0,75.0
855,NTHGLFT,2022-09-16,09:40,108.0,40,AV LIBERTADOR,R01,APELADA,68.0,66.0
872,990XYK,2024-08-01,14:31,80.0,40,RUTA 9,R01,PAGADA,40.0,38.0
873,INTIGR8,2020-05-18,14:32,113.0,60,AV LIBERTADOR,R02,PAGADA,53.0,50.0
882,BB8986,2022-07-16,14:32,124.0,80,AV LIBERTADOR,R01,APELADA,44.0,40.0
883,589222,2023-04-23,14:32,111.0,80,AV LIBERTADOR,,IMPAGA,31.0,27.0
884,6NCE831,2022-02-07,09:41,69.0,60,AV LIBERTADOR,R01,APELADA,9.0,6.0
888,9999868,2023-07-04,09:41,53.0,40,AV LIBERTADOR,R01,IMPAGA,13.0,11.0
890,BP717,2022-08-23,08:33,133.0,60,AV LIBERTADOR,R03,APELADA,73.0,70.0
897,MVU4688,2023-01-09,08:33,90.0,60,AV LIBERTADOR,R03,IMPAGA,30.0,27.0
900,BM351,2020-09-04,08:34,85.0,40,AV SIEMPRE VIVA,R01,PAGADA,45.0,43.0
902,HF3461,2020-02-24,14:33,123.0,60,AV LIBERTADOR,,PAGADA,63.0,60.0
909,691XC80,2022-09-12,08:34,117.0,80,AV LIBERTADOR,R02,IMPAGA,37.0,33.0
914,UM96201,2021-05-06,18:41,96.0,80,AV LIBERTADOR,R01,APELADA,16.0,12.0
915,J1S1,2022-05-29,08:34,105.0,60,RUTA 9,R03,IMPAGA,45.0,42.0
923,8B90638,2022-07-30,08:35,111.0,80,RUTA 9,R03,PAGADA,31.0,27.0
932,DK414N,2023-08-04,08:35,67.0,60,AV SIEMPRE VIVA,R01,ERROR,7.0,4.0
938,41RSTZ,2022-07-21,08:36,148.0,80,RUTA 9,R03,ERROR,68.0,64.0
939,691XC80,2021-07-12,14:34,49.0,40,AV LIBERTADOR,,IMPAGA,9.0,7.0
942,VTIIAHV,2020-01-25,08:36,73.0,60,AV SIEMPRE VIVA,,PAGADA,13.0,10.0
943,9999868,2022-09-07,14:34,102.0,80,AV SIEMPRE VIVA,,APELADA,22.0,18.0
948,HAMSTUR,2021-03-18,08:36,88.0,60,AV LIBERTADOR,,PAGADA,28.0,25.0
949,NHZ1002,2020-03-15,08:36,127.0,60,AV SIEMPRE VIVA,R01,APELADA,67.0,64.0
961,OUTSTDN,2021-10-10,18:43,74.0,60,AV SIEMPRE VIVA,,PAGADA,14.0,11.0
967,INTIGR8,2021-11-06,08:38,81.0,60,AV LIBERTADOR,R03,IMPAGA,21.0,18.0
975,MVU4688,2023-08-25,18:43,132.0,60,AV LIBERTADOR,R03,ERROR,72.0,69.0
976,9999868,2023-05-05,14:35,109.0,60,AV SIEMPRE VIVA,R01,PAGADA,49.0,46.0
977,BB8986,2022-03-14,09:44,81.0,60,RUTA 9,R02,PAGADA,21.0,18.0
979,XIIUME,2023-06-18,14:36,68.0,60,AV SIEMPRE VIVA,R03,APELADA,8.0,5.0
982,BM351,2020-11-04,14:36,81.0,40,AV LIBERTADOR,R03,ERROR,41.0,39.0
983,YLO8WUE,2023-10-07,18:44,59.0,40,AV SIEMPRE VIVA,R01,APELADA,19.0,17.0
992,TL03GOG,2020-01-14,08:39,128.0,60,AV LIBERTADOR,R01,IMPAGA,68.0,65.0
995,VY90540,2021-03-27,14:36,89.0,60,AV LIBERTADOR,R03,IMPAGA,29.0,26.0
1007,T0YDR,2022-12-03,09:45,89.0,60,AV LIBERTADOR,R03,IMPAGA,29.0,26.0
1009,HF3461,2023-02-15,18:45,132.0,80,AV SIEMPRE VIVA,R03,APELADA,52.0,48.0
1014,WU08YWC,2020-08-29,08:40,126.0,80,RUTA 9,R01,ERROR,46.0,42.0
1018,3646HBH,2022-08-08,18:45,126.0,60,AV SIEMPRE VIVA,R03,ERROR,66.0,63.0
1019,HAMSTUR,2020-11-27,18:45,71.0,60,AV LIBERTADOR,R03,IMPAGA,11.0,8.0
1021,T0YDR,2023-03-14,18:46,79.0,40,AV SIEMPRE VIVA,,APELADA,39.0,37.0
1022,831MDB,2021-10-03,09:46,153.0,80,AV LIBERTADOR,R01,IMPAGA,73.0,69.0
1026,81ZFJD,2021-02-08,08:40,119.0,40,RUTA 9,R03,APELADA,79.0,77.0
1032,MVU4688,2020-01-22,09:46,138.0,60,RUTA 9,R03,IMPAGA,78.0,75.0
1033,DI2LOT,2022-05-15,08:41,114.0,40,AV SIEMPRE VIVA,,APELADA,74.0,72.0
1035,VY90540,2023-09-24,08:41,118.0,40,AV LIBERTADOR,R02,PAGADA,78.0,76.0
1058,BM351,2023-10-20,09:47,135.0,80,AV LIBERTADOR,,IMPAGA,55.0,51.0
1062,UM96201,2023-10-08,18:47,93.0,60,AV LIBERTADOR,R03,PAGADA,33.0,30.0
1063,409,2024-02-01,14:39,126.0,80,RUTA 9,R01,IMPAGA,46.0,42.0
1064,RFH373,2021-07-09,18:47,117.0,80,AV LIBERTADOR,R01,ERROR,37.0,33.0
1068,GOOGLE,2023-05-04,14:39,45.0,40,AV SIEMPRE VIVA,,PAGADA,5.0,3.0
1074,T0YDR,2023-10-10,09:48,157.0,80,AV SIEMPRE VIVA,R02,IMPAGA,77.0,73.0
1079,UW3932,2022-11-27,18:48,141.0,80,AV LIBERTADOR,R01,IMPAGA,61.0,57.0
1081,YLO8WUE,2022-08-07,14:40,97.0,40,RUTA 9,,PAGADA,57.0,55.0
1082,AWS167,2023-03-17,09:48,131.0,60,AV SIEMPRE VIVA,R03,ERROR,71.0,68.0
1085,81ZFJD,2023-06-08,18:48,123.0,80,AV LIBERTADOR,R01,IMPAGA,43.0,39.0
1087,GN64OTP,2023-05-19,09:48,101.0,40,AV LIBERTADOR,,IMPAGA,61.0,59.0
1088,990XYK,2024-01-21,18:48,85.0,80,AV SIEMPRE VIVA,R01,ERROR,5.0,1.0
